"id","symbol","chr","position","strand","product","tissue","statistic","dm","p.value","q.value"
"cg15905979","ST18","8",53484874,"-","suppression of tumorigenicity 18","PONS",-3.17613255489771,-0.0544762614702334,0.00193273155862457,0.119776491658974
"cg17866455","SCAND2","15",82974955,"+","SCAN domain-containing protein 2 isoform 1","PONS",-3.17337617563406,-0.0494933541353616,0.00194961735171118,0.119776491658974
"cg06630567","AMBP","9",115880256,"","alpha-1-microglobulin/bikunin precursor","PONS",-3.16359195020702,-0.0332464305435868,0.00201067104161566,0.120439195392778
"cg23746359","FAM19A3","1",113063287,"+","family with sequence similarity 19 (chemokine (C-C motif)-like); member A3 isoform 1","PONS",-3.14692981325624,-0.0279243809902561,0.00211875201132906,0.123817800466937
"cg13693652","CLCA2","1",86661217,"","calcium activated chloride channel 2","FCTX",3.12239202084648,0.0325157309202683,0.00221144557215826,0.35324157272608
"cg10523494","CD300LB","17",70039981,"","triggering receptor expressed on myeloid cells 5","PONS",-3.1320248858522,-0.0353626293387011,0.00221998578249363,0.125998864682781
"cg15013019","LYL1","19",13074451,"-","lymphoblastic leukemia derived sequence 1","PONS",3.12558321607825,0.0250907792139335,0.00226511271552792,0.125998864682781
"cg22496683","MGC27016","4",155922060,"+","hypothetical protein LOC166863","CRBLM",-3.1229987783959,-0.0628509638610772,0.00229312840031953,0.610481738573956
"cg08666623","ST6GALNAC2","17",72094278,"","sialyltransferase 7","TCTX",-3.11269876207082,-0.0364460127692684,0.00230974704334682,0.335669590849321
"cg27210390","TOM1L1","17",50333582,"+","target of myb1-like 1","PONS",3.11876067597351,0.0405251742521348,0.00231383557848178,0.125998864682781
"cg21402035","GALR3","22",36549346,"","galanin receptor 3","TCTX",-3.10291453093928,-0.0201511393114707,0.00238162898348851,0.335669590849321
"cg01318557","LAT2","7",73262255,"+","linker for activation of T cells family member 2 isoform 1","PONS",-3.10311754822392,-0.0480648732585975,0.00244977527066489,0.128254815531602
"cg04019407","GIP","17",44401303,"-","gastric inhibitory polypeptide preproprotein","PONS",-3.09618549334421,-0.0507785405340305,0.00248207642333622,0.128254815531602
"cg26239233","CIITA","16",10878302,"","class II transactivator","PONS",-3.09099988738592,-0.0430821015373254,0.00252229156458228,0.128254815531602
"cg09548084","SLC35B3","6",8381217,"-","solute carrier family 35; member B3","FCTX",-3.06987684440365,-0.0563750680987412,0.00260763992524612,0.390494078805606
"cg22496683","MGC27016","4",155922060,"+","hypothetical protein LOC166863","PONS",-3.07139486387221,-0.0694874315317986,0.00267985268242617,0.128254815531602
"cg06192619","SLC1A6","19",14944616,"-","solute carrier family 1 (high affinity aspartate/glutamate transporter); member 6","PONS",-3.06829325032671,-0.0239539767451596,0.00270559920594509,0.128254815531602
"cg23352695","EVI2A","17",26672937,"","ecotropic viral integration site 2A isoform 2","PONS",-3.06667475384622,-0.0432306217264267,0.00271912513636381,0.128254815531602
"cg21736592","PSCD4","22",36008396,"","pleckstrin homology; Sec7 and coiled/coil domains 4","PONS",-3.06538306865999,-0.0301695078144978,0.0027299647713321,0.128254815531602
"cg21291985","BTBD4","20",61907479,"-","BTB (POZ) domain containing 4","FCTX",3.04787991004097,0.0346832842696411,0.00279232846239541,0.393554058582318
"cg03271907","MGMT","10",131302633,"+","O-6-methylguanine-DNA methyltransferase","CRBLM",3.05442525146532,0.0732927826608314,0.00283461906045869,0.625359999794585
"cg18771300","RHOJ","14",62741490,"+","TC10-like Rho GTPase","CRBLM",-3.05026381098778,-0.0965403712795425,0.00287101836299684,0.625359999794585
"cg18345369","PRSS22","16",2847860,"-","protease; serine; 22","PONS",3.0437793147062,0.0707626294029491,0.00291729420471169,0.131754733475373
"cg14292823","TIGD5","8",144752240,"+","tigger transposable element derived 5","PONS",3.04084969733715,0.0312971715046713,0.00294359372065013,0.131754733475373
"cg06200339","SOX30","5",157011982,"-","SRY (sex determining region Y)-box 30 isoform a","TCTX",-3.03107682438703,-0.025839351772446,0.00297632905182775,0.396182467121072
"cg23881725","DLEC1","3",38055646,"+","deleted in lung and esophageal cancer 1 isoform DLEC1-L1","PONS",3.03303948030104,0.0552650828558733,0.00301478221973632,0.131754733475373
"cg20189937","L2HGDH","14",49849874,"","hypothetical protein LOC79944","PONS",-3.03261463659871,-0.0371002207490545,0.00302442000882534,0.131754733475373
"cg01643580","KCNK3","2",26769903,"+","potassium channel; subfamily K; member 3","FCTX",3.00553650331399,0.0291185271123166,0.00318229361834605,0.42359863941984
"cg00398048","AGA","4",178601336,"","aspartylglucosaminidase precursor","PONS",-3.00719499551777,-0.0483169856990373,0.00326185245257275,0.137276794713925
"cg24794433","DAB2IP","9",123501993,"+","DAB2 interacting protein isoform 1","PONS",3.00680028359809,0.0558495088474923,0.00326576681915431,0.137276794713925
"cg19356189","KLK10","19",56216502,"","kallikrein 10 precursor","PONS",-2.99259883022264,-0.0304677671625186,0.00340952176715254,0.140848519898232
"cg09201719","CYP17A1","10",104586880,"","cytochrome P450; family 17","PONS",-2.98209307498002,-0.0328902964985914,0.00351959969188661,0.142931540029836
"cg14871138","NTSR1","20",60811330,"+","neurotensin receptor 1","FCTX",2.9702423373982,0.032367969497752,0.00354506478228495,0.442632817175734
"cg00587613","GPR152","11",66976799,"","G protein-coupled receptor 152","TCTX",-2.97415382190195,-0.0163948403840875,0.00354715239764113,0.434117435032196
"cg10725344","UNQ1940","7",135084179,"-","hypothetical protein LOC389558","PONS",-2.97638690337984,-0.0444745416553667,0.00358075275958923,0.14299139353293
"cg15910079","RNASE3","14",20429255,"","ribonuclease; RNase A family; 3 (eosinophil cationic protein)","CRBLM",2.97624638547078,0.0347065093299971,0.00359511818862958,0.668151141405316
"cg21300318","C19orf30","19",4720206,"+","hypothetical protein LOC284424","TCTX",2.96662875061523,0.0256063855032045,0.00362368476654588,0.434117435032196
"cg00176210","ANK1","8",41774124,"-","ankyrin 1 isoform 4","FCTX",-2.9566397637484,-0.0297190679906795,0.00369476475104954,0.442632817175734
"cg19668234","TSP50","3",46734453,"-","testes-specific protease 50","TCTX",2.94939498310513,0.0483433925384968,0.00381753514145147,0.435562580900844
"cg27091787","HYAL2","3",50335694,"","hyaluronoglucosaminidase 2","PONS",-2.9452733880747,-0.0494797684815383,0.00393851078075421,0.146083026320743
"cg12966875","SLPI","20",43317160,"","secretory leukocyte peptidase inhibitor precursor","PONS",-2.94255904566048,-0.0321356399088114,0.00396385425519094,0.146083026320743
"cg08015496","COPA","1",158580685,"","coatomer protein complex; subunit alpha","PONS",-2.93757316284678,-0.0275310696911785,0.00402340735947713,0.146083026320743
"cg13645811","SYNJ2","6",158323508,"+","synaptojanin 2","PONS",-2.9373493045048,-0.0330685038768416,0.00402610041272941,0.146083026320743
"cg09548084","SLC35B3","6",8381217,"-","solute carrier family 35; member B3","PONS",-2.93570597475833,-0.0595858951343015,0.00404592077576814,0.146083026320743
"cg00630164","KCNQ4","1",41022649,"+","potassium voltage-gated channel KQT-like protein 4 isoform a","PONS",2.92687770140618,0.0571799514786467,0.00415394442480445,0.146083026320743
"cg19248557","HLA-DRA","6",32515816,"","major histocompatibility complex; class II; DR alpha precursor","FCTX",-2.91601922510774,-0.0335415938714317,0.00417708162720484,0.476585122799181
"cg26955850","OXT","20",3000345,"+","oxytocin-neurophysin I preproprotein","CRBLM",-2.92535693982124,-0.0376119568719162,0.00418691863036643,0.668151141405316
"cg20050113","SLC9A2","2",102603293,"+","solute carrier family 9 (sodium/hydrogen exchanger); isoform 2","CRBLM",-2.92426694009933,-0.050411834395698,0.00420052253642937,0.668151141405316
"cg24664957","VPS37B","12",121946956,"-","vacuolar protein sorting 37B","CRBLM",2.92053883195912,0.0417854188614554,0.00424735960089861,0.668151141405316
"cg18640030","CRH","8",67253306,"","corticotropin releasing hormone precursor","PONS",-2.91904161485552,-0.0462652542521289,0.00425204283343503,0.146083026320743
"cg24352499","AQP6","12",48647043,"+","aquaporin 6 isoform 1","PONS",-2.91465181030891,-0.0227448117116904,0.00430792413764517,0.146083026320743
"cg08128768","DAB2IP","9",123502003,"+","DAB2 interacting protein isoform 1","PONS",2.91241853297714,0.0487248362614011,0.00433661157702034,0.146083026320743
"cg27635271","SH3PX3","15",73728631,"","SH3 and PX domain containing 3","PONS",2.90295034732701,0.047118943411456,0.0044601947122328,0.146083026320743
"cg00237010","NINJ2","12",643122,"","ninjurin 2","PONS",-2.89876706831734,-0.0429151218240277,0.00451582022661251,0.146083026320743
"cg01120761","CLEC4C","12",7794437,"","C-type lectin domain family 4; member C isoform 1","PONS",2.89465732567377,0.11406522525019,0.00457108752820663,0.146083026320743
"cg17067528","IER3","6",30820496,"-","immediate early response 3 isoform short","PONS",-2.8881968145642,-0.0136503182051367,0.00465922402602122,0.146083026320743
"cg24262376","SCNM1","1",149403898,"","sodium channel modifier 1 isoform 1","PONS",-2.88650284195218,-0.0359792998744219,0.00468259043483752,0.146083026320743
"cg04655481","GPR21","9",124836630,"","G protein-coupled receptor 21","PONS",-2.88298551324284,-0.0398610062161459,0.00473145173041178,0.146083026320743
"cg00019495","HOP","4",57242282,"","homeodomain-only protein","PONS",-2.88253900747527,-0.0382214519733996,0.00473768775200422,0.146083026320743
"cg10970251","SLC25A22","11",786421,"","mitochondrial glutamate carrier 1","PONS",2.8795144611781,0.0359553896680404,0.00478012830066032,0.146083026320743
"cg00698688","SULT2B1","19",53747244,"","sulfotransferase family; cytosolic; 2B; member 1 isoform b","TCTX",-2.87178195987423,-0.0163301706496416,0.00481437906692927,0.524329647471024
"cg02611282","CREB5","7",28305510,"","cAMP responsive element binding protein 5 isoform alpha","PONS",-2.87576356012867,-0.034804597967188,0.00483324539466229,0.146083026320743
"cg03636183","F2RL3","19",16861585,"+","coagulation factor II (thrombin) receptor-like 3","PONS",-2.87319257566346,-0.0238381437973304,0.00486996557095819,0.146083026320743
"cg15538820","OBP2B","9",135074639,"","odorant binding protein 2B","PONS",-2.87008868547972,-0.0544090032344854,0.00491463774180463,0.146083026320743
"cg04237003","C11orf9","11",61278578,"","hypothetical protein LOC745","PONS",-2.86582764220513,-0.0413569326403326,0.00498433482722835,0.146083026320743
"cg21949305","ADORA2A","22",23158655,"","adenosine A2a receptor","PONS",2.86426272278176,0.039745874198936,0.00499950257024247,0.146083026320743
"cg09837648","PLXNB1","3",48441755,"","plexin B1","CRBLM",-2.85522689553532,-0.0486442474147527,0.00514974020172532,0.668151141405316
"cg09119967","C20orf103","20",9442838,"","chromosome 20 open reading frame 103 precursor","PONS",2.85413496959774,0.035730801655806,0.00515023304806079,0.148674197387393
"cg03030757","FANCE","6",35528732,"+","Fanconi anemia; complementation group E","PONS",2.84431352339387,0.0430544179648035,0.00530036917271089,0.151186720688277
"cg04794268","CYHR1","8",145661191,"","cysteine and histidine rich 1","FCTX",2.83328441291476,0.0305923577718413,0.00534262407995192,0.581860331616582
"cg18917378","BCAS1","20",52120414,"","breast carcinoma amplified sequence 1","PONS",2.83876395206014,0.0355052863504098,0.00538696420415348,0.151849014507667
"cg06821120","RASSF1","3",50350463,"-","Ras association domain family 1 isoform A","FCTX",2.81474474482007,0.0259005607955338,0.00564157335343763,0.587704771949416
"cg13060154","DAB2IP","9",123501819,"+","DAB2 interacting protein isoform 2","PONS",2.8186424362959,0.0312271346836083,0.00571190659992245,0.159136374574584
"cg06363129","SOSTDC1","7",16472127,"","cystine knot-containing secreted protein","PONS",2.80897574733442,0.0509370583794756,0.00587430039131813,0.161779583190784
"cg15518950","PRP2","5",72451526,"+","proline-rich protein PRP2","CRBLM",-2.80809542161942,-0.06109852683079,0.00591547460369129,0.668151141405316
"cg06210526","CYP2F1","19",46311690,"","cytochrome P450; family 2; subfamily F; polypeptide 1","CRBLM",2.80654064913191,0.084907604785579,0.00593319867902956,0.668151141405316
"cg08244028","MSH3","5",79985095,"","mutS homolog 3","CRBLM",2.80418581128967,0.0376447693166362,0.00597371991930279,0.668151141405316
"cg04230060","SUSD1","9",113977813,"-","sushi domain containing 1","CRBLM",2.80271186377211,0.047008638671493,0.00599921157352524,0.668151141405316
"cg21210789","BAI1","8",143542392,"+","brain-specific angiogenesis inhibitor 1 precursor","PONS",2.79217791264746,0.0410924727117787,0.00616655697132436,0.166348987726114
"cg26646411","FLJ21125","22",18221374,"","hypothetical protein LOC79680","TCTX",2.78556354569979,0.0207543299513302,0.00619740192147462,0.645607608863182
"cg10784813","SOCS1","16",11256179,"-","suppressor of cytokine signaling 1","PONS",2.78669101958006,0.0383636383721353,0.00626485825190437,0.166348987726114
"cg26322315","RPA3","7",7725520,"","replication protein A3; 14kDa","PONS",-2.78558879137439,-0.0405110689437054,0.00628477701574069,0.166348987726114
"cg25692621","ASB4","7",94953099,"","ankyrin repeat and SOCS box-containing protein 4 isoform b","CRBLM",2.78629075142479,0.0352288338879533,0.0062900075219579,0.668151141405316
"cg10468702","PTGER1","19",14446209,"-","prostaglandin E receptor 1; subtype EP1","PONS",-2.78376133394386,-0.0313049739832689,0.00631792899961451,0.166348987726114
"cg00451635","EMP2","16",10582531,"","epithelial membrane protein 2","FCTX",2.76979358832253,0.0309703775755393,0.00643080727654009,0.632267695073484
"cg26424956","GRM4","6",34209504,"","glutamate receptor; metabotropic 4","PONS",2.76960053913506,0.0132963835783679,0.00658027716154385,0.169894474051985
"cg21104946","WNT7B","22",44752194,"-","wingless-type MMTV integration site family; member 7B precursor","PONS",2.7688528351036,0.034817943773642,0.00659440153874565,0.169894474051985
"cg22282672","FLJ32921","5",121493122,"","hypothetical protein LOC133923","PONS",2.75831697025276,0.0278537802162473,0.00679638690593991,0.170485665852176
"cg20131968","CCDC47","17",59203744,"","hypothetical protein LOC57003","PONS",-2.75777983577025,-0.0395567310120174,0.00680683383102915,0.170485665852176
"cg08826839","FAP","2",162808371,"","fibroblast activation protein; alpha subunit","PONS",2.75654985343053,0.0367802061071498,0.00683081131961974,0.170485665852176
"cg08431931","MGC26816","22",40724605,"+","hypothetical protein LOC164684","FCTX",-2.73545297801025,-0.0539852289523585,0.00710006322021403,0.632267695073484
"cg26711820","MYF6","12",79625820,"+","myogenic factor 6 (herculin)","TCTX",-2.73104233545678,-0.0238834064701776,0.00724976093660715,0.723767800171281
"cg19668234","TSP50","3",46734453,"-","testes-specific protease 50","FCTX",2.72658137386866,0.0509800324717793,0.00728294674380783,0.632267695073484
"cg26504021","IRX2","5",2805882,"-","iroquois homeobox protein 2","PONS",2.73107748311881,0.0307915394945601,0.00734498333254634,0.18142866046166
"cg06385087","CTSZ","20",57015298,"-","cathepsin Z preproprotein","FCTX",2.7227029578814,0.0295102043746452,0.00736423323958765,0.632267695073484
"cg22438810","LCN2","9",129951613,"","lipocalin 2 (oncogene 24p3)","FCTX",2.72153981994327,0.0330875635737067,0.00738877106095891,0.632267695073484
"cg23679724","CTSZ","20",57014873,"","cathepsin Z preproprotein","CRBLM",2.72721688175372,0.0375251715581685,0.00744562708194307,0.668151141405316
"cg01581111","RBM18","9",124068148,"","RNA binding motif protein 18","PONS",-2.72473853073861,-0.0314853767860084,0.00747829120972006,0.182836589168258
"cg08431931","MGC26816","22",40724605,"+","hypothetical protein LOC164684","CRBLM",-2.7255242316515,-0.0701768441387414,0.0074814172939203,0.668151141405316
"cg12619509","DNASE1L2","16",2226602,"+","deoxyribonuclease I-like 2","PONS",2.72049596504345,0.0385608900523726,0.00756873665052839,0.183178717319859
"cg09201719","CYP17A1","10",104586880,"","cytochrome P450; family 17","TCTX",-2.70977530354658,-0.0111240984652202,0.00770249962121455,0.738207563697203
"cg05140736","SGSH","17",75810113,"","N-sulfoglucosamine sulfohydrolase (sulfamidase)","CRBLM",2.71074782348911,0.043443232840081,0.00780056204109203,0.668151141405316
"cg00229387","TJAP1","6",43553920,"","tight junction protein 4 (peripheral)","PONS",-2.70961851925934,-0.0258330475316207,0.00780518713668177,0.185184390243159
"cg06112415","CGREF1","2",27195662,"-","cell growth regulator with EF hand domain 1","PONS",-2.70957317352807,-0.0228899417042818,0.00780618673395622,0.185184390243159
"cg14696820","LCE1A","1",151066792,"","late cornified envelope 1A","CRBLM",2.7090006387616,0.0292618971482124,0.00783910458907812,0.668151141405316
"cg27635271","SH3PX3","15",73728631,"","SH3 and PX domain containing 3","CRBLM",2.70258158814383,0.0696610865268991,0.00798219703407946,0.668151141405316
